Solución de 16 pasos encontrada en 348 intentos 
Paso # 0 con la rana NIL aplicando NIL                  obtenemos -> (V V V E C C C)      
Paso # 1 con la rana 3 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (V V E V C C C)      
Paso # 2 con la rana 5 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V V C V E C C)      
Paso # 3 con la rana 6 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V V C V C E C)      
Paso # 4 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V V C E C V C)      
Paso # 5 con la rana 2 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V E C V C V C)      
Paso # 6 con la rana 1 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (E V C V C V C)      
Paso # 7 con la rana 3 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C V E V C V C)      
Paso # 8 con la rana 5 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C V C V E V C)      
Paso # 9 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C V C V C V E)      
Paso # 10 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (C V C V C E V)      
Paso # 11 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C V C E C V V)      
Paso # 12 con la rana 2 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C E C V C V V)      
Paso # 13 con la rana 3 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C C E V C V V)      
Paso # 14 con la rana 5 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C C C V E V V)      
Paso # 15 con la rana 4 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (C C C E V V V)      
