Solución de 73 pasos encontrada en 185 intentos 
Paso # 0 con la rana NIL aplicando NIL                  obtenemos -> (V V V E C C C)      
Paso # 1 con la rana 6 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V V V C C E C)      
Paso # 2 con la rana 7 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V V V C C C E)      
Paso # 3 con la rana 5 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V V V C E C C)      
Paso # 4 con la rana 3 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V V E C V C C)      
Paso # 5 con la rana 4 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V V C E V C C)      
Paso # 6 con la rana 6 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V V C C V E C)      
Paso # 7 con la rana 7 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V V C C V C E)      
Paso # 8 con la rana 5 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V V C C E C V)      
Paso # 9 con la rana 6 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V V C C C E V)      
Paso # 10 con la rana 7 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V V C C C V E)      
Paso # 11 con la rana 5 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V V C C E V C)      
Paso # 12 con la rana 3 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V V E C C V C)      
Paso # 13 con la rana 4 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V V C E C V C)      
Paso # 14 con la rana 2 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V E C V C V C)      
Paso # 15 con la rana 3 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V C E V C V C)      
Paso # 16 con la rana 5 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V C C V E V C)      
Paso # 17 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V C C V C V E)      
Paso # 18 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (V C C V C E V)      
Paso # 19 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V C C E C V V)      
Paso # 20 con la rana 5 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V C C C E V V)      
Paso # 21 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V C C C V V E)      
Paso # 22 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (V C C C V E V)      
Paso # 23 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V C C E V C V)      
Paso # 24 con la rana 5 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V C C V E C V)      
Paso # 25 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V C C V V C E)      
Paso # 26 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (V C C V V E C)      
Paso # 27 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V C C E V V C)      
Paso # 28 con la rana 2 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V E C C V V C)      
Paso # 29 con la rana 3 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V C E C V V C)      
Paso # 30 con la rana 5 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V C V C E V C)      
Paso # 31 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V C V C C V E)      
Paso # 32 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (V C V C C E V)      
Paso # 33 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V C V E C C V)      
Paso # 34 con la rana 5 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V C V C E C V)      
Paso # 35 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (V C V C V C E)      
Paso # 36 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (V C V C V E C)      
Paso # 37 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V C V E V C C)      
Paso # 38 con la rana 5 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (V C V V E C C)      
Paso # 39 con la rana 3 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (V C E V V C C)      
Paso # 40 con la rana 1 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (E C V V V C C)      
Paso # 41 con la rana 2 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C E V V V C C)      
Paso # 42 con la rana 4 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C V V E V C C)      
Paso # 43 con la rana 6 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C V V C V E C)      
Paso # 44 con la rana 7 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C V V C V C E)      
Paso # 45 con la rana 5 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C V V C E C V)      
Paso # 46 con la rana 6 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C V V C C E V)      
Paso # 47 con la rana 7 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C V V C C V E)      
Paso # 48 con la rana 5 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C V V C E V C)      
Paso # 49 con la rana 3 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C V E C V V C)      
Paso # 50 con la rana 4 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C V C E V V C)      
Paso # 51 con la rana 6 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C V C V V E C)      
Paso # 52 con la rana 7 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C V C V V C E)      
Paso # 53 con la rana 5 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C V C V E C V)      
Paso # 54 con la rana 6 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C V C V C E V)      
Paso # 55 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C V C E C V V)      
Paso # 56 con la rana 5 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C V C C E V V)      
Paso # 57 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C V C C V V E)      
Paso # 58 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (C V C C V E V)      
Paso # 59 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C V C E V C V)      
Paso # 60 con la rana 2 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C E C V V C V)      
Paso # 61 con la rana 3 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C C E V V C V)      
Paso # 62 con la rana 5 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C C V V E C V)      
Paso # 63 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C C V V V C E)      
Paso # 64 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (C C V V V E C)      
Paso # 65 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C C V E V V C)      
Paso # 66 con la rana 5 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C C V V E V C)      
Paso # 67 con la rana 7 aplicando (SALTA-ATRAS-2 Z)    obtenemos -> (C C V V C V E)      
Paso # 68 con la rana 6 aplicando (SALTA-ADELANTE-1 W) obtenemos -> (C C V V C E V)      
Paso # 69 con la rana 4 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C C V E C V V)      
Paso # 70 con la rana 5 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C C V C E V V)      
Paso # 71 con la rana 3 aplicando (SALTA-ADELANTE-2 X) obtenemos -> (C C E C V V V)      
Paso # 72 con la rana 4 aplicando (SALTA-ATRAS-1 Y)    obtenemos -> (C C C E V V V)      
